module	symbol
DPC-AD-8	PLP1
DPC-AD-8	RPS18
DPC-AD-8	EEF1A1
DPC-AD-8	FTL
DPC-AD-8	PTGDS
DPC-AD-8	RPS4X
DPC-AD-8	RPL19
DPC-AD-8	PEA15
DPC-AD-8	CD81
DPC-AD-8	RPL11
DPC-AD-8	RPS16
DPC-AD-8	B2M
DPC-AD-8	RPL6
DPC-AD-8	RPS19
DPC-AD-8	HTRA1
DPC-AD-8	MBP
DPC-AD-8	ADD3
DPC-AD-8	DBI
DPC-AD-8	HMGB1
DPC-AD-8	RPS15
DPC-AD-8	RPS6
DPC-AD-8	RPS5
DPC-AD-8	RPS24
DPC-AD-8	PLEKHB1
DPC-AD-8	RPL22
DPC-AD-8	KIF1B
DPC-AD-8	AGT
DPC-AD-8	SLC38A2
DPC-AD-8	MXI1
DPC-AD-8	DAAM2
DPC-AD-8	SPP1
DPC-AD-8	CLDND1
DPC-AD-8	PTP4A2
DPC-AD-8	PAPSS1
DPC-AD-8	TXNIP
DPC-AD-8	RHOA
DPC-AD-8	NAP1L1
DPC-AD-8	PCDH9
DPC-AD-8	PON2
DPC-AD-8	HSPB8
DPC-AD-8	EIF3E
DPC-AD-8	RPS9
DPC-AD-8	RHOB
DPC-AD-8	PABPC1
DPC-AD-8	LIMCH1
DPC-AD-8	SALL2
DPC-AD-8	NCL
DPC-AD-8	CANX
DPC-AD-8	CORO2B
DPC-AD-8	SPCS2
DPC-AD-8	PABPC3
DPC-AD-8	TJP1
DPC-AD-8	SF3B1
DPC-AD-8	CADM1
DPC-AD-8	ANXA5
DPC-AD-8	FGF1
DPC-AD-8	SPRY2
DPC-AD-8	WFS1
DPC-AD-8	EPHX1
DPC-AD-8	MOBP
DPC-AD-8	CNN3
DPC-AD-8	SAP18
DPC-AD-8	MPDZ
DPC-AD-8	HSD17B4
DPC-AD-8	SEC11A
DPC-AD-8	IRF9
DPC-AD-8	YBX1
DPC-AD-8	FYN
DPC-AD-8	ZNF532
DPC-AD-8	RNF13
DPC-AD-8	PNN
DPC-AD-8	GAB2
DPC-AD-8	TAF10
DPC-AD-8	TRAK2
DPC-AD-8	FNBP1
DPC-AD-8	LAMP1
DPC-AD-8	KTN1
DPC-AD-8	ITPKB
DPC-AD-8	HNRNPU
DPC-AD-8	PKP4
DPC-AD-8	RALGDS
DPC-AD-8	CTNNA1
DPC-AD-8	RAD21
DPC-AD-8	VAMP3
DPC-AD-8	EPB41L2
DPC-AD-8	PTPRD
DPC-AD-8	RPS6KA2
DPC-AD-8	HNRNPC
DPC-AD-8	MAP4K4
DPC-AD-8	QKI
DPC-AD-8	STAT3
DPC-AD-8	CD83
DPC-AD-8	PNRC1
DPC-AD-8	AQP1
DPC-AD-8	CBR1
