module	symbol
IFG-AD-3	SPARCL1
IFG-AD-3	FTL
IFG-AD-3	PTGDS
IFG-AD-3	RPL30
IFG-AD-3	RPL32
IFG-AD-3	RPL19
IFG-AD-3	CD81
IFG-AD-3	RPS3
IFG-AD-3	RPL35
IFG-AD-3	RPL11
IFG-AD-3	UBA52
IFG-AD-3	RPS16
IFG-AD-3	RPLP1
IFG-AD-3	HLA-A
IFG-AD-3	RPS19
IFG-AD-3	HTRA1
IFG-AD-3	HBB
IFG-AD-3	CD63
IFG-AD-3	PFDN5
IFG-AD-3	RPL8
IFG-AD-3	DBI
IFG-AD-3	NACA
IFG-AD-3	CNP
IFG-AD-3	RPS15
IFG-AD-3	RPS5
IFG-AD-3	PAQR6
IFG-AD-3	EFHD1
IFG-AD-3	RPL12
IFG-AD-3	CST3
IFG-AD-3	ATP1B2
IFG-AD-3	PLEKHB1
IFG-AD-3	PTMA
IFG-AD-3	RPLP0
IFG-AD-3	RPL22
IFG-AD-3	AGT
IFG-AD-3	ANP32B
IFG-AD-3	RPS15A
IFG-AD-3	MXI1
IFG-AD-3	MYL6
IFG-AD-3	DAAM2
IFG-AD-3	IRS2
IFG-AD-3	RAB31
IFG-AD-3	SASH1
IFG-AD-3	RPS28
IFG-AD-3	HLA-B
IFG-AD-3	RPL29
IFG-AD-3	NFE2L1
IFG-AD-3	GPRC5B
IFG-AD-3	APOE
IFG-AD-3	ARL2
IFG-AD-3	VIM
IFG-AD-3	ADIPOR2
IFG-AD-3	NPC2
IFG-AD-3	COBL
IFG-AD-3	MAPK3
IFG-AD-3	PFKFB3
IFG-AD-3	HDGF
IFG-AD-3	RPS9
IFG-AD-3	PCDH17
IFG-AD-3	VPS52
IFG-AD-3	RHOB
IFG-AD-3	PABPC1
IFG-AD-3	A2M
IFG-AD-3	SLC30A3
IFG-AD-3	ACADVL
IFG-AD-3	RING1
IFG-AD-3	JUND
IFG-AD-3	NFKBIA
IFG-AD-3	PLLP
IFG-AD-3	AATK
IFG-AD-3	LPAR1
IFG-AD-3	BLOC1S1
IFG-AD-3	BRD2
IFG-AD-3	SRRM1
IFG-AD-3	C3
IFG-AD-3	MACF1
IFG-AD-3	CLDN5
IFG-AD-3	TTYH1
IFG-AD-3	PFN1
IFG-AD-3	TP53BP2
IFG-AD-3	FXYD1
IFG-AD-3	LHPP
IFG-AD-3	ZBTB16
IFG-AD-3	CD59
IFG-AD-3	FGF1
IFG-AD-3	PNPLA6
IFG-AD-3	HIPK2
IFG-AD-3	WFS1
IFG-AD-3	EPHX1
IFG-AD-3	SIRT2
IFG-AD-3	PAIP2B
IFG-AD-3	SAP18
IFG-AD-3	CD74
IFG-AD-3	MAP4
IFG-AD-3	MID1IP1
IFG-AD-3	TMED9
IFG-AD-3	GANAB
IFG-AD-3	PODXL
IFG-AD-3	TNPO2
IFG-AD-3	GSTP1
IFG-AD-3	YBX1
IFG-AD-3	FYN
IFG-AD-3	RAB40B
IFG-AD-3	SH3BGRL3
IFG-AD-3	GNAI2
IFG-AD-3	DCXR
IFG-AD-3	SEMA4C
IFG-AD-3	RPS21
IFG-AD-3	CTSH
IFG-AD-3	CXXC1
IFG-AD-3	NUDT11
IFG-AD-3	GAB2
IFG-AD-3	TNS3
IFG-AD-3	PPP1R3C
IFG-AD-3	TAF10
IFG-AD-3	CCND3
IFG-AD-3	RAPGEF4
IFG-AD-3	FBL
IFG-AD-3	ACTN4
IFG-AD-3	NNAT
IFG-AD-3	IPO13
IFG-AD-3	ZNF358
IFG-AD-3	CLIP2
IFG-AD-3	TBC1D9B
IFG-AD-3	PAQR4
IFG-AD-3	CNTN2
IFG-AD-3	SOX10
IFG-AD-3	ARHGEF6
IFG-AD-3	BSG
IFG-AD-3	ZDHHC7
IFG-AD-3	ITPKB
IFG-AD-3	POLR2J
IFG-AD-3	RHOG
IFG-AD-3	MLC1
IFG-AD-3	RNF167
IFG-AD-3	HNRNPU
IFG-AD-3	FBXO7
IFG-AD-3	EIF3G
IFG-AD-3	PRKCSH
IFG-AD-3	DUSP22
IFG-AD-3	PKP4
IFG-AD-3	FASTK
IFG-AD-3	RALGDS
IFG-AD-3	SETD1B
IFG-AD-3	NME4
IFG-AD-3	SDC4
IFG-AD-3	C11orf68
IFG-AD-3	HUWE1
IFG-AD-3	CHMP1A
IFG-AD-3	PHF1
IFG-AD-3	GPX1
IFG-AD-3	PCBP4
IFG-AD-3	GNB2
IFG-AD-3	S100A1
IFG-AD-3	NPLOC4
IFG-AD-3	THOC1
IFG-AD-3	FBXW4
IFG-AD-3	SSR2
IFG-AD-3	SLC41A3
IFG-AD-3	WDR6
IFG-AD-3	RAB1B
IFG-AD-3	RAMP1
IFG-AD-3	MKNK2
IFG-AD-3	MPP1
IFG-AD-3	SUPT5H
IFG-AD-3	SND1
IFG-AD-3	APOC1
IFG-AD-3	MAP4K4
IFG-AD-3	SNTA1
IFG-AD-3	FGFR3
IFG-AD-3	SYT2
IFG-AD-3	PPP2R2B
IFG-AD-3	DYSF
IFG-AD-3	ARHGEF2
