module	symbol
PCG-AD-3	TUBA1C
PCG-AD-3	ACTB
PCG-AD-3	RPL3
PCG-AD-3	TMSB10
PCG-AD-3	PSAP
PCG-AD-3	CFL1
PCG-AD-3	ITM2C
PCG-AD-3	GABARAP
PCG-AD-3	ATP1A2
PCG-AD-3	TUBB2B
PCG-AD-3	KIF5C
PCG-AD-3	AGT
PCG-AD-3	CAPNS1
PCG-AD-3	ERH
PCG-AD-3	BAALC
PCG-AD-3	TUBB
PCG-AD-3	IRS2
PCG-AD-3	AHCYL1
PCG-AD-3	NDUFA13
PCG-AD-3	SERPINE2
PCG-AD-3	CSNK2B
PCG-AD-3	DAZAP2
PCG-AD-3	SPCS1
PCG-AD-3	GLUD1
PCG-AD-3	CIRBP
PCG-AD-3	TBCA
PCG-AD-3	PGRMC1
PCG-AD-3	CSDE1
PCG-AD-3	GTF3A
PCG-AD-3	SLC6A1
PCG-AD-3	PPP1CC
PCG-AD-3	ECHS1
PCG-AD-3	APOE
PCG-AD-3	ARL2
PCG-AD-3	LGALS1
PCG-AD-3	UFC1
PCG-AD-3	NAP1L1
PCG-AD-3	TCEAL4
PCG-AD-3	UBE2E1
PCG-AD-3	PHB2
PCG-AD-3	SNPH
PCG-AD-3	ZNF706
PCG-AD-3	KLHL2
PCG-AD-3	MAPK3
PCG-AD-3	EDF1
PCG-AD-3	NPM1
PCG-AD-3	GDI2
PCG-AD-3	VBP1
PCG-AD-3	NUCKS1
PCG-AD-3	CBX1
PCG-AD-3	PUF60
PCG-AD-3	EIF3K
PCG-AD-3	DCTN6
PCG-AD-3	CANX
PCG-AD-3	TMEM9B
PCG-AD-3	PPP1R16B
PCG-AD-3	BNIP3L
PCG-AD-3	SPCS2
PCG-AD-3	TSR2
PCG-AD-3	DDB1
PCG-AD-3	STX12
PCG-AD-3	EIF3H
PCG-AD-3	UBL5
PCG-AD-3	RBX1
PCG-AD-3	APEX1
PCG-AD-3	POLR2G
PCG-AD-3	PSMB4
PCG-AD-3	CUEDC2
PCG-AD-3	PSMB7
PCG-AD-3	HEY1
PCG-AD-3	FIS1
PCG-AD-3	FOXO3
PCG-AD-3	TTYH1
PCG-AD-3	SESN1
PCG-AD-3	ROGDI
PCG-AD-3	SNX27
PCG-AD-3	RBBP7
PCG-AD-3	SRI
PCG-AD-3	ANXA7
PCG-AD-3	IK
PCG-AD-3	CETN2
PCG-AD-3	IDI1
PCG-AD-3	PGM1
PCG-AD-3	RABAC1
PCG-AD-3	ZNF721
PCG-AD-3	PSMB3
PCG-AD-3	PRR13
PCG-AD-3	CTNND2
PCG-AD-3	GIT1
PCG-AD-3	OS9
PCG-AD-3	TMEM147
PCG-AD-3	MARCKS
PCG-AD-3	ATOX1
PCG-AD-3	KHDRBS1
PCG-AD-3	PRAF2
PCG-AD-3	DIABLO
PCG-AD-3	C19orf53
PCG-AD-3	FAM53C
PCG-AD-3	AGPAT1
PCG-AD-3	VTI1B
PCG-AD-3	PODXL
PCG-AD-3	GNG10
PCG-AD-3	TSG101
PCG-AD-3	IMPDH2
PCG-AD-3	ENOPH1
PCG-AD-3	SLC7A5
PCG-AD-3	SH3BGRL
PCG-AD-3	ESD
PCG-AD-3	PLS3
PCG-AD-3	ARF5
PCG-AD-3	NBL1
PCG-AD-3	TCF25
PCG-AD-3	PPP1R3C
PCG-AD-3	MT1G
PCG-AD-3	GPAA1
PCG-AD-3	SF3B2
PCG-AD-3	CTSF
PCG-AD-3	SNX17
PCG-AD-3	FHL1
PCG-AD-3	ITPK1
PCG-AD-3	PLEKHM2
PCG-AD-3	ITGAE
PCG-AD-3	PTN
PCG-AD-3	EIF3D
PCG-AD-3	HSPD1
PCG-AD-3	SETD1B
PCG-AD-3	GYG1
PCG-AD-3	TRMT5
PCG-AD-3	VPS28
PCG-AD-3	BRD9
PCG-AD-3	FEZ2
PCG-AD-3	VPS4B
PCG-AD-3	ARF4
PCG-AD-3	S100A1
PCG-AD-3	PPP6C
PCG-AD-3	FN3KRP
PCG-AD-3	EIF4A3
PCG-AD-3	CHMP2A
PCG-AD-3	DECR1
PCG-AD-3	GAK
PCG-AD-3	MKNK2
PCG-AD-3	ACTN1
PCG-AD-3	VPS37C
PCG-AD-3	PDCD10
PCG-AD-3	GTF3C1
PCG-AD-3	F3
PCG-AD-3	ETFB
PCG-AD-3	PRKAG1
PCG-AD-3	PYGB
PCG-AD-3	COMMD3
PCG-AD-3	FABP5
PCG-AD-3	PSMD4
PCG-AD-3	FGFR3
PCG-AD-3	PARN
PCG-AD-3	HLTF
PCG-AD-3	EXOC1
PCG-AD-3	PMVK
PCG-AD-3	SF3B5
PCG-AD-3	CAPZB
PCG-AD-3	UNC119
PCG-AD-3	FDPS
PCG-AD-3	AQP4
PCG-AD-3	TUFM
PCG-AD-3	ALG8
PCG-AD-3	NOL7
PCG-AD-3	BLVRB
PCG-AD-3	PSMB2
PCG-AD-3	RRAGD
PCG-AD-3	SLC9A3R1
PCG-AD-3	NAE1
PCG-AD-3	FKBP9
PCG-AD-3	CALR
PCG-AD-3	PURA
PCG-AD-3	SCAMP3
PCG-AD-3	ODC1
PCG-AD-3	TXN2
PCG-AD-3	DDOST
PCG-AD-3	SH3BP5
PCG-AD-3	CRYL1
PCG-AD-3	DNAJB1
PCG-AD-3	CES2
PCG-AD-3	SETD5
PCG-AD-3	DVL1
PCG-AD-3	LRP3
