module	symbol
PFC-AD-3	EEF1A1
PFC-AD-3	MT2A
PFC-AD-3	RPL23A
PFC-AD-3	MT3
PFC-AD-3	GJA1
PFC-AD-3	CD81
PFC-AD-3	CSRP1
PFC-AD-3	RPS27
PFC-AD-3	ITM2C
PFC-AD-3	RPL38
PFC-AD-3	MT1X
PFC-AD-3	HLA-A
PFC-AD-3	MT1F
PFC-AD-3	MT1H
PFC-AD-3	ATP1A2
PFC-AD-3	ALDH2
PFC-AD-3	TUBB2B
PFC-AD-3	ADD3
PFC-AD-3	NDRG1
PFC-AD-3	MT1E
PFC-AD-3	ATP1B2
PFC-AD-3	PLEKHB1
PFC-AD-3	PTMA
PFC-AD-3	AGT
PFC-AD-3	CLU
PFC-AD-3	ANP32B
PFC-AD-3	MXI1
PFC-AD-3	PTTG1IP
PFC-AD-3	PRDX6
PFC-AD-3	SAT1
PFC-AD-3	CYB5R3
PFC-AD-3	PTPRZ1
PFC-AD-3	MYL6
PFC-AD-3	DAAM2
PFC-AD-3	RPL18
PFC-AD-3	RAB31
PFC-AD-3	SASH1
PFC-AD-3	RPS28
PFC-AD-3	HLA-B
PFC-AD-3	NCAN
PFC-AD-3	APOE
PFC-AD-3	HSPB1
PFC-AD-3	ALDH9A1
PFC-AD-3	ADIPOR2
PFC-AD-3	RPL31
PFC-AD-3	HADHB
PFC-AD-3	PON2
PFC-AD-3	SPARC
PFC-AD-3	SIDT2
PFC-AD-3	HIF1A
PFC-AD-3	PFKFB3
PFC-AD-3	RUSC1
PFC-AD-3	HLA-C
PFC-AD-3	A2M
PFC-AD-3	SLC30A3
PFC-AD-3	SALL2
PFC-AD-3	ACADVL
PFC-AD-3	RING1
PFC-AD-3	NFKBIA
PFC-AD-3	SOX9
PFC-AD-3	LPAR1
PFC-AD-3	ASRGL1
PFC-AD-3	PALM
PFC-AD-3	MACF1
PFC-AD-3	BCAS1
PFC-AD-3	CADM1
PFC-AD-3	TTYH1
PFC-AD-3	RAB13
PFC-AD-3	TP53BP2
PFC-AD-3	FXYD1
PFC-AD-3	DDIT4
PFC-AD-3	HLA-E
PFC-AD-3	CD59
PFC-AD-3	ZNF721
PFC-AD-3	RPL37A
PFC-AD-3	PHGDH
PFC-AD-3	WFS1
PFC-AD-3	EPHX1
PFC-AD-3	CEBPB
PFC-AD-3	XPO6
PFC-AD-3	MAP3K5
PFC-AD-3	FYN
PFC-AD-3	PLSCR4
PFC-AD-3	LRP4
PFC-AD-3	ABLIM1
PFC-AD-3	GAB2
PFC-AD-3	TNS3
PFC-AD-3	PPP1R3C
PFC-AD-3	TPD52L1
PFC-AD-3	ACTN4
PFC-AD-3	MT1G
PFC-AD-3	MBOAT2
PFC-AD-3	TBC1D9B
PFC-AD-3	PAQR4
PFC-AD-3	TRAK2
PFC-AD-3	ARHGEF6
PFC-AD-3	SLC1A2
PFC-AD-3	KTN1
PFC-AD-3	ITPKB
PFC-AD-3	RHOG
PFC-AD-3	MLC1
PFC-AD-3	PLEKHM2
PFC-AD-3	FASTK
PFC-AD-3	GNG5
PFC-AD-3	SETD1B
PFC-AD-3	MT1M
PFC-AD-3	NME4
PFC-AD-3	SDC4
PFC-AD-3	HDDC2
PFC-AD-3	THOC1
PFC-AD-3	FBXW4
PFC-AD-3	LHX2
PFC-AD-3	WDR6
PFC-AD-3	RAMP1
PFC-AD-3	MKNK2
PFC-AD-3	DDX27
PFC-AD-3	SLC3A2
PFC-AD-3	BAZ2B
PFC-AD-3	MAP4K4
PFC-AD-3	SNTA1
PFC-AD-3	NIPSNAP1
PFC-AD-3	FGFR3
PFC-AD-3	USP5
PFC-AD-3	KCTD12
PFC-AD-3	DYSF
PFC-AD-3	GRIN2A
PFC-AD-3	TAOK1
PFC-AD-3	CYP27A1
PFC-AD-3	CDC42EP4
PFC-AD-3	IER2
PFC-AD-3	PURA
PFC-AD-3	CRYL1
PFC-AD-3	AQP1
PFC-AD-3	PHF21A
PFC-AD-3	SETD5
PFC-AD-3	MAPRE1
