module	symbol
SPL-AD-6	RPL41
SPL-AD-6	RPS18
SPL-AD-6	RPL27
SPL-AD-6	RPL39
SPL-AD-6	RPS4X
SPL-AD-6	RPL9
SPL-AD-6	RPL30
SPL-AD-6	RPL23A
SPL-AD-6	RPL32
SPL-AD-6	GPM6B
SPL-AD-6	RPL19
SPL-AD-6	RPS17
SPL-AD-6	RPL24
SPL-AD-6	GJA1
SPL-AD-6	RPS12
SPL-AD-6	TMSB4X
SPL-AD-6	FTH1
SPL-AD-6	RPS27
SPL-AD-6	RPS10
SPL-AD-6	FAU
SPL-AD-6	RPS3
SPL-AD-6	RPS23
SPL-AD-6	RPL35
SPL-AD-6	RPL11
SPL-AD-6	RPL34
SPL-AD-6	UBA52
SPL-AD-6	RPS16
SPL-AD-6	RPLP1
SPL-AD-6	HLA-A
SPL-AD-6	RPL7
SPL-AD-6	RPL37
SPL-AD-6	RPS19
SPL-AD-6	RPS29
SPL-AD-6	CD63
SPL-AD-6	SLC1A3
SPL-AD-6	PFDN5
SPL-AD-6	RPL8
SPL-AD-6	DBI
SPL-AD-6	NACA
SPL-AD-6	RPS15
SPL-AD-6	RPS6
SPL-AD-6	RPS5
SPL-AD-6	RPS24
SPL-AD-6	RPL12
SPL-AD-6	RPL22
SPL-AD-6	AGT
SPL-AD-6	RPS27A
SPL-AD-6	RPS7
SPL-AD-6	RPS15A
SPL-AD-6	PRDX6
SPL-AD-6	PTPRZ1
SPL-AD-6	MYL6
SPL-AD-6	LAPTM4A
SPL-AD-6	RPS28
SPL-AD-6	RPL29
SPL-AD-6	NCAN
SPL-AD-6	ARL2
SPL-AD-6	RPL36AL
SPL-AD-6	ALDH9A1
SPL-AD-6	NPC2
SPL-AD-6	HADHB
SPL-AD-6	GOLGA7
SPL-AD-6	RPS9
SPL-AD-6	RPL36
SPL-AD-6	RPL14
SPL-AD-6	CNDP2
SPL-AD-6	A2M
SPL-AD-6	BTF3
SPL-AD-6	ASRGL1
SPL-AD-6	APEX1
SPL-AD-6	ITM2A
SPL-AD-6	TTYH1
SPL-AD-6	IK
SPL-AD-6	GSTP1
SPL-AD-6	PLSCR4
SPL-AD-6	DCXR
SPL-AD-6	MEPCE
SPL-AD-6	RPS21
SPL-AD-6	CREG1
SPL-AD-6	TNS3
