module	symbol
TC-AD-1	RPL23A
TC-AD-1	RPL35
TC-AD-1	RPL34
TC-AD-1	GABARAP
TC-AD-1	APLP1
TC-AD-1	PPIA
TC-AD-1	ARF3
TC-AD-1	RPLP0
TC-AD-1	HMGN2
TC-AD-1	ERH
TC-AD-1	HMGN3
TC-AD-1	STARD7
TC-AD-1	BAALC
TC-AD-1	TUBB
TC-AD-1	NEDD8
TC-AD-1	LASP1
TC-AD-1	NFE2L1
TC-AD-1	CSDE1
TC-AD-1	NCAN
TC-AD-1	CNBP
TC-AD-1	NUDT3
TC-AD-1	HYOU1
TC-AD-1	UFC1
TC-AD-1	FDFT1
TC-AD-1	UBE4A
TC-AD-1	PITPNB
TC-AD-1	MDH2
TC-AD-1	AKR1B1
TC-AD-1	PHB2
TC-AD-1	ZNF706
TC-AD-1	HIF1A
TC-AD-1	PFKFB3
TC-AD-1	ACTR10
TC-AD-1	MLF2
TC-AD-1	HLA-C
TC-AD-1	LDOC1
TC-AD-1	GNAQ
TC-AD-1	VPS52
TC-AD-1	RHOB
TC-AD-1	NUCKS1
TC-AD-1	IQSEC1
TC-AD-1	CBX1
TC-AD-1	TCF4
TC-AD-1	BTBD3
TC-AD-1	ACADVL
TC-AD-1	RING1
TC-AD-1	CYCS
TC-AD-1	PSMB5
TC-AD-1	ARPC2
TC-AD-1	AATK
TC-AD-1	PFDN2
TC-AD-1	PABPC3
TC-AD-1	UBL5
TC-AD-1	BLOC1S1
TC-AD-1	APEX1
TC-AD-1	SNN
TC-AD-1	OSBPL1A
TC-AD-1	TRIM44
TC-AD-1	RAB3A
TC-AD-1	TPI1
TC-AD-1	FAM8A1
TC-AD-1	RNPS1
TC-AD-1	ROGDI
TC-AD-1	FXYD1
TC-AD-1	MAP1LC3B
TC-AD-1	ROCK2
TC-AD-1	COPS7A
TC-AD-1	PDHA1
TC-AD-1	ZMPSTE24
TC-AD-1	GLG1
TC-AD-1	GOLPH3
TC-AD-1	PRR13
TC-AD-1	PIP4K2C
TC-AD-1	LRRTM2
TC-AD-1	SPRY2
TC-AD-1	NDUFB4
TC-AD-1	NCOA1
TC-AD-1	PAIP2B
TC-AD-1	CD74
TC-AD-1	MPDZ
TC-AD-1	NPDC1
TC-AD-1	CEBPB
TC-AD-1	ASH2L
TC-AD-1	TIMM8B
TC-AD-1	ACTR1A
TC-AD-1	FIBP
TC-AD-1	AGPAT1
TC-AD-1	VPS4A
TC-AD-1	GNG10
TC-AD-1	PSMD8
TC-AD-1	SH3BGRL3
TC-AD-1	NONO
TC-AD-1	IMPDH2
TC-AD-1	DCXR
TC-AD-1	ARHGEF18
TC-AD-1	OXA1L
TC-AD-1	MEPCE
TC-AD-1	ILK
TC-AD-1	RNF13
TC-AD-1	PLCD1
TC-AD-1	RAB5B
TC-AD-1	ZMIZ1
TC-AD-1	TMED10
TC-AD-1	CREG1
TC-AD-1	PPME1
TC-AD-1	PJA1
TC-AD-1	PNPLA2
TC-AD-1	TRIP12
TC-AD-1	OLA1
TC-AD-1	WIPF2
TC-AD-1	PSMB1
TC-AD-1	MAOB
TC-AD-1	RRAGC
TC-AD-1	ARHGEF17
TC-AD-1	TBC1D9B
