module	symbol
EC-CT-6	COX6A1
EC-CT-6	ARF3
EC-CT-6	KIF1B
EC-CT-6	HMGN3
EC-CT-6	SLC38A2
EC-CT-6	MXI1
EC-CT-6	PPP1CC
EC-CT-6	HYOU1
EC-CT-6	CBX1
EC-CT-6	CDKN1B
EC-CT-6	DDX17
EC-CT-6	LMBRD1
EC-CT-6	SF3B1
EC-CT-6	MACF1
EC-CT-6	XPO1
EC-CT-6	NDUFV1
EC-CT-6	RBM39
EC-CT-6	ZNF721
EC-CT-6	TPD52L2
EC-CT-6	NPDC1
EC-CT-6	ZNF532
EC-CT-6	XKR8
EC-CT-6	DGKZ
EC-CT-6	NBL1
EC-CT-6	PNN
EC-CT-6	PPME1
EC-CT-6	CTDSP2
EC-CT-6	MBOAT2
EC-CT-6	KTN1
EC-CT-6	PKIG
EC-CT-6	RAD21
EC-CT-6	DMTF1
EC-CT-6	TAF6
EC-CT-6	KLC2
EC-CT-6	USP47
EC-CT-6	MARK4
EC-CT-6	HAX1
EC-CT-6	TARDBP
EC-CT-6	BAZ2B
EC-CT-6	GSK3A
EC-CT-6	PRPSAP1
EC-CT-6	ZNF207
EC-CT-6	CDK5
EC-CT-6	SON
EC-CT-6	SF3B5
EC-CT-6	NXF1
EC-CT-6	SUMO4
EC-CT-6	SIRT3
EC-CT-6	PNRC1
EC-CT-6	TXN2
EC-CT-6	RBM4B
EC-CT-6	RNF187
EC-CT-6	ARFIP2
EC-CT-6	MAP3K10
EC-CT-6	SETD3
EC-CT-6	DEK
EC-CT-6	SNRPD3
EC-CT-6	EIF2B1
EC-CT-6	PTGES2
EC-CT-6	SREBF2
EC-CT-6	RBM5
EC-CT-6	OSBPL9
EC-CT-6	EHD3
EC-CT-6	LSM14A
EC-CT-6	SLC25A28
EC-CT-6	B4GALT2
EC-CT-6	MAN2A2
EC-CT-6	CHD3
EC-CT-6	PPP1R8
EC-CT-6	PPM1B
EC-CT-6	CLK2
EC-CT-6	APBB1
EC-CT-6	NAPA
EC-CT-6	MED13
EC-CT-6	CLK1
EC-CT-6	DLG4
