module	symbol
NUA-CT-2	TUBA1C
NUA-CT-2	UBC
NUA-CT-2	LDHB
NUA-CT-2	ALDOC
NUA-CT-2	MT3
NUA-CT-2	SRP14
NUA-CT-2	GJA1
NUA-CT-2	TMSB4X
NUA-CT-2	YWHAQ
NUA-CT-2	RPS10
NUA-CT-2	ITM2C
NUA-CT-2	RPS23
NUA-CT-2	CCNI
NUA-CT-2	RTN4
NUA-CT-2	ATP6V0E2
NUA-CT-2	SPOCK1
NUA-CT-2	PPA1
NUA-CT-2	ATP1A2
NUA-CT-2	APLP1
NUA-CT-2	ALDH2
NUA-CT-2	ITM2B
NUA-CT-2	CD63
NUA-CT-2	HMGB1
NUA-CT-2	NACA
NUA-CT-2	TBCB
NUA-CT-2	SLC25A5
NUA-CT-2	SRP9
NUA-CT-2	WASF3
NUA-CT-2	CLU
NUA-CT-2	PTGES3
NUA-CT-2	ANP32B
NUA-CT-2	ATF4
NUA-CT-2	RPS27A
NUA-CT-2	CSTB
NUA-CT-2	RPS15A
NUA-CT-2	PRDX6
NUA-CT-2	SAT1
NUA-CT-2	BAALC
NUA-CT-2	ARNT2
NUA-CT-2	ARL6IP5
NUA-CT-2	SPP1
NUA-CT-2	CSNK2B
NUA-CT-2	SPOCK2
NUA-CT-2	GNAS
NUA-CT-2	STMN4
NUA-CT-2	PAPSS1
NUA-CT-2	LANCL1
NUA-CT-2	CSDE1
NUA-CT-2	SLC6A1
NUA-CT-2	NCAN
NUA-CT-2	CNBP
NUA-CT-2	NUDT3
NUA-CT-2	PRKACB
NUA-CT-2	BIN1
NUA-CT-2	TMEM59
NUA-CT-2	PRKAR1A
NUA-CT-2	ST13
NUA-CT-2	NAP1L1
NUA-CT-2	VDAC2
NUA-CT-2	RPL31
NUA-CT-2	UBE2E1
NUA-CT-2	SNPH
NUA-CT-2	HIF1A
NUA-CT-2	PFKFB3
NUA-CT-2	EIF3E
NUA-CT-2	RPL36
NUA-CT-2	GDI2
NUA-CT-2	VBP1
NUA-CT-2	HSBP1
NUA-CT-2	EVL
NUA-CT-2	CNDP2
NUA-CT-2	VPS52
NUA-CT-2	STRAP
NUA-CT-2	CBX1
NUA-CT-2	PCBP1
NUA-CT-2	SDHA
NUA-CT-2	PUF60
NUA-CT-2	ATP9A
NUA-CT-2	DCTN6
NUA-CT-2	NCL
NUA-CT-2	CANX
NUA-CT-2	GSTA4
NUA-CT-2	PSMB5
NUA-CT-2	TMEM9B
NUA-CT-2	ENO1
NUA-CT-2	RPH3A
NUA-CT-2	TSR2
NUA-CT-2	INPP1
NUA-CT-2	STX12
NUA-CT-2	PARP1
NUA-CT-2	STAU1
NUA-CT-2	RBX1
NUA-CT-2	GMFB
NUA-CT-2	PALM
NUA-CT-2	DYNC1I2
NUA-CT-2	PSMB4
NUA-CT-2	PSMB7
NUA-CT-2	FIS1
NUA-CT-2	CADM1
NUA-CT-2	FOXO3
NUA-CT-2	UBL3
NUA-CT-2	SYT11
NUA-CT-2	RAB3A
NUA-CT-2	EIF3I
NUA-CT-2	ROGDI
NUA-CT-2	BANF1
NUA-CT-2	MAP1LC3B
NUA-CT-2	ANXA7
NUA-CT-2	NDUFV1
NUA-CT-2	NDUFB1
NUA-CT-2	RAP1GAP
NUA-CT-2	RABAC1
NUA-CT-2	ZMPSTE24
NUA-CT-2	PNPLA6
NUA-CT-2	DHCR24
NUA-CT-2	STK39
