module	symbol
SFG-CT-4	FAM107A
SFG-CT-4	MT2A
SFG-CT-4	GFAP
SFG-CT-4	PTGDS
SFG-CT-4	MT3
SFG-CT-4	GJA1
SFG-CT-4	CSRP1
SFG-CT-4	IFITM3
SFG-CT-4	ITM2C
SFG-CT-4	MT1X
SFG-CT-4	B2M
SFG-CT-4	HLA-A
SFG-CT-4	MT1F
SFG-CT-4	MT1H
SFG-CT-4	HTRA1
SFG-CT-4	ATP1A2
SFG-CT-4	HBB
SFG-CT-4	ALDH2
SFG-CT-4	SLC1A3
SFG-CT-4	TUBB2B
SFG-CT-4	ADD3
SFG-CT-4	DBI
SFG-CT-4	MT1E
SFG-CT-4	CST3
SFG-CT-4	ATP1B2
SFG-CT-4	KIF1B
SFG-CT-4	AGT
SFG-CT-4	CLU
SFG-CT-4	NDRG2
SFG-CT-4	GLUL
SFG-CT-4	PTTG1IP
SFG-CT-4	PRDX6
SFG-CT-4	IFITM2
SFG-CT-4	PTPRZ1
SFG-CT-4	LAPTM4A
SFG-CT-4	AHCYL1
SFG-CT-4	RAB31
SFG-CT-4	SASH1
SFG-CT-4	GLUD1
SFG-CT-4	HLA-B
SFG-CT-4	PMP2
SFG-CT-4	TXNIP
SFG-CT-4	APOE
SFG-CT-4	HSPB1
SFG-CT-4	ALDH9A1
SFG-CT-4	HADHB
SFG-CT-4	PON2
SFG-CT-4	ITGAV
SFG-CT-4	HLA-C
SFG-CT-4	SERPINA3
SFG-CT-4	SALL2
SFG-CT-4	NFKBIA
SFG-CT-4	SOX9
SFG-CT-4	GSTM2
SFG-CT-4	ASRGL1
SFG-CT-4	MACF1
SFG-CT-4	CADM1
SFG-CT-4	TTYH1
SFG-CT-4	IFITM1
SFG-CT-4	RAB13
SFG-CT-4	TP53BP2
SFG-CT-4	ANXA5
SFG-CT-4	FXYD1
SFG-CT-4	DDIT4
SFG-CT-4	SRI
SFG-CT-4	HLA-E
SFG-CT-4	CD59
SFG-CT-4	PGM1
SFG-CT-4	GSTM3
SFG-CT-4	PHGDH
SFG-CT-4	WFS1
SFG-CT-4	CEBPB
SFG-CT-4	PODXL
SFG-CT-4	MAP3K5
SFG-CT-4	FYN
SFG-CT-4	PLSCR4
SFG-CT-4	LRP4
SFG-CT-4	DCXR
SFG-CT-4	TMEM47
SFG-CT-4	ABLIM1
SFG-CT-4	CTSH
SFG-CT-4	XKR8
SFG-CT-4	TNS3
SFG-CT-4	PPP1R3C
SFG-CT-4	TPD52L1
SFG-CT-4	CTDSP2
SFG-CT-4	MT1G
SFG-CT-4	ZFP36
SFG-CT-4	ARHGEF6
SFG-CT-4	SLC1A2
SFG-CT-4	ITPKB
SFG-CT-4	MLC1
SFG-CT-4	PSAT1
SFG-CT-4	PTN
SFG-CT-4	GNG5
SFG-CT-4	BAG3
SFG-CT-4	MT1M
SFG-CT-4	NME4
SFG-CT-4	SDC4
SFG-CT-4	DTNA
SFG-CT-4	S100A1
SFG-CT-4	THOC1
SFG-CT-4	TPP1
SFG-CT-4	GSTM1
SFG-CT-4	SERP1
SFG-CT-4	RAMP1
SFG-CT-4	DECR1
SFG-CT-4	MKNK2
SFG-CT-4	F3
SFG-CT-4	SNTA1
SFG-CT-4	FGFR3
SFG-CT-4	UBE2L6
SFG-CT-4	MYH9
SFG-CT-4	VWF
SFG-CT-4	AQP4
SFG-CT-4	CDC42EP4
SFG-CT-4	SLC9A3R1
SFG-CT-4	FKBP9
SFG-CT-4	RNF187
SFG-CT-4	HMBOX1
SFG-CT-4	CLDN10
SFG-CT-4	SLC1A4
SFG-CT-4	CHPT1
SFG-CT-4	IFNGR1
SFG-CT-4	PLTP
SFG-CT-4	LGALS3
