GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012
RFC2	5.17647585649469	5.10431891334215	5.38857792954429	5.13661232024933	5.03741030393151	5.36685159378072	5.54082527766863	5.72306760338811	5.15376841898714	5.36479019666575	5.18049540604513	5.21715082440651	5.41355670054869	5.26324345216998	5.03371709515763	5.22367347457073	5.21894809301144	5.0016785134486	5.06010401308369	5.10645199457814
HSPA6	5.78103513153587	5.27019115027753	5.37375757949652	5.37839515417564	5.28701639498406	5.88879937981187	5.18528730773726	5.69292503084921	6.78282484718943	5.36631886515817	5.51854254045907	5.33220462903685	5.2668550499218	5.63548117513228	7.63656410508564	5.27089670502514	5.16647298599128	5.42975887586458	5.44445063440137	5.83054748005121
PAX8	5.55975387209289	5.35117352130235	5.44208417464062	5.60984831436032	5.43651444057906	5.70541217018768	5.33230197372039	5.63285899775928	5.47474492662603	5.33573378123394	5.53662653525766	5.50472448698161	5.32160393754256	5.3001231337577	5.70619391765492	5.58776215282247	5.32227435953745	5.44002350128755	5.45332745903271	5.59615394821009
GUCA1A	5.196258654063	5.18058308622403	5.27145876842177	5.16857634405863	4.95803227074759	5.12657389566029	5.01519782188748	5.20162544797386	4.98687898211983	5.19563542596399	5.51528796234371	5.18539737733166	5.03470232147504	5.06083170777966	5.38503315561837	5.14470066767944	4.76220907295427	5.05290745926784	5.42098224376719	5.46302686875263
THRA	7.02895127858728	6.76308454933604	6.73488998696605	7.01731291629273	6.90554212504893	6.91602132828446	7.18995911620987	6.88468962221907	7.2860157957372	6.82128500212448	6.70948783102034	6.93806170114577	6.92237918066949	7.02348632785982	6.95160640363549	6.82109342468333	6.94179767145045	6.90717280237474	7.09636923972772	7.01943575728606
PTPN21	5.12430022841061	4.73345939786442	4.87739675306472	4.91844525869506	4.87062822353971	5.02951248350737	4.83695918838231	5.17798874544837	5.05535149862147	4.82435938291662	5.0772598002656	5.03787327637574	4.78325708804396	4.77582240508855	5.12480134309589	4.96493554664293	4.73670740842787	4.69234029585253	4.72952262115337	5.08095042009573
CCL5	4.66040007640976	4.58379123820773	4.61433518684905	4.71016277735425	4.58339719143821	4.53308543921962	4.66649339539142	4.76801255661298	4.53497622232768	4.61464459702768	4.73551116002517	4.60674314359786	4.69990571785164	4.51406339873836	4.80433575100786	4.5689614300816	4.51038176396848	4.6481779426879	4.53602112173489	5.03972020882485
CYP2E1	5.32314907526259	5.63460245971265	5.15435578636484	5.25489253183578	5.25807981682881	5.13597025412862	5.17773374200982	5.34000235769685	4.8979213982303	5.37631194963109	5.6619521483759	5.24764322753429	5.22105525583123	5.08950439114922	5.29205909842567	5.35189685851775	5.01063850682907	5.09995336629174	5.06937911543771	5.57440053453109
EPHB3	6.42781108509032	5.96609679117782	6.25040790070655	6.16819336994061	6.14008022851547	6.33538299575146	6.10493610692044	6.27396431337018	6.17759212871079	6.17395149191723	6.43157121399848	6.32665857894069	6.20327313483935	5.97103578801248	6.28483137187807	6.25281757730802	6.2061085674085	6.07611467376589	6.12439971883375	6.31464213920933
ESRRA	6.87109798962777	6.67263992840936	6.78678075033204	6.69708737346429	6.67220607347067	6.80716443467959	6.8336532619227	6.72249779444304	6.80908932061205	6.58877332439668	6.75425172587404	6.64516542203094	6.50858056434841	6.62366923028092	6.7751741646871	6.67200543268505	6.58565024336774	6.6425616598478	6.51839794046574	6.51610459519831
