TF	target	score	module
ALX4	APC	1	AC-AD-7
ARID3B	CEP350	1	AC-AD-7
ARID3B	HIPK1	1	AC-AD-7
ARID3B	RIN1	1	AC-AD-7
ARID5B	AAAS	1	AC-AD-7
ARID5B	AP2B1	1	AC-AD-7
ARID5B	ASXL1	1	AC-AD-7
ARID5B	CALM1	1	AC-AD-7
ARID5B	CCT8	1	AC-AD-7
ARID5B	CLIC4	1	AC-AD-7
ARID5B	COX7A2	1	AC-AD-7
ARID5B	CRBN	1	AC-AD-7
ARID5B	FOXN3	1	AC-AD-7
ARID5B	GNB2	1	AC-AD-7
ARID5B	IPO9	1	AC-AD-7
ARID5B	KLF6	1	AC-AD-7
ARID5B	MAX	1	AC-AD-7
ARID5B	OGFR	1	AC-AD-7
ARID5B	PICALM	1	AC-AD-7
ARID5B	PIK3R1	1	AC-AD-7
ARID5B	PRKCI	1	AC-AD-7
ARID5B	TBCD	1	AC-AD-7
ARID5B	TCF4	1	AC-AD-7
ARID5B	TPR	1	AC-AD-7
ARID5B	TRA2A	1	AC-AD-7
ARID5B	TSPAN5	1	AC-AD-7
ARID5B	UGCG	1	AC-AD-7
ARID5B	ZNF148	1	AC-AD-7
ARNT2	ARIH2	1	AC-AD-7
ARNT2	CEP350	1	AC-AD-7
ARNT2	GNB2	1	AC-AD-7
ARNT2	PICK1	1	AC-AD-7
ARNT2	SH2B1	1	AC-AD-7
ASH1L	ANKFY1	1	AC-AD-7
ASH1L	ANP32A	1	AC-AD-7
ASH1L	BBX	1	AC-AD-7
ASH1L	CEP68	1	AC-AD-7
ASH1L	DICER1	1	AC-AD-7
ASH1L	EFNB2	1	AC-AD-7
ASH1L	GNB2	1	AC-AD-7
ASH1L	GOLGA3	1	AC-AD-7
ASH1L	GSK3B	1	AC-AD-7
ASH1L	HMGB1	1	AC-AD-7
ASH1L	HSP90B1	1	AC-AD-7
ASH1L	HYAL2	1	AC-AD-7
ASH1L	IL6ST	1	AC-AD-7
ASH1L	KLF6	1	AC-AD-7
ASH1L	KPNB1	1	AC-AD-7
ASH1L	LRRC41	1	AC-AD-7
ASH1L	MAT2A	1	AC-AD-7
ASH1L	PRKCI	1	AC-AD-7
ASH1L	PRPF40A	1	AC-AD-7
ASH1L	PSAT1	1	AC-AD-7
ASH1L	RABL3	1	AC-AD-7
ASH1L	RC3H2	1	AC-AD-7
ASH1L	RNF167	1	AC-AD-7
