TF	TF.1	score	module
RORA	NR0B1	1	AC-AD-7
MCM3	ATM	1	AC-AD-7
TERF2	ATM	1	AC-AD-7
SKP2	ATM	1	AC-AD-7
PRKDC	ATM	1	AC-AD-7
BRCA2	ATM	1	AC-AD-7
MDM2	ATM	1	AC-AD-7
EWSR1	ATM	1	AC-AD-7
TERF1	ATM	1	AC-AD-7
EGFR	ATM	1	AC-AD-7
SIRT3	BRCA2	1	AC-AD-7
SKP2	BRCA2	1	AC-AD-7
HMG20B	BRCA2	1	AC-AD-7
HDGF	CDC5L	1	AC-AD-7
NPM1	CDC5L	1	AC-AD-7
UBN1	CDC5L	1	AC-AD-7
EWSR1	CDC5L	1	AC-AD-7
CDC73	CDC5L	1	AC-AD-7
WRNIP1	CDC5L	1	AC-AD-7
MED16	CDC5L	1	AC-AD-7
SETX	CDC5L	1	AC-AD-7
SUMO1	CDC5L	1	AC-AD-7
PRKDC	CDC5L	1	AC-AD-7
ELF2	CDC5L	1	AC-AD-7
MCM3	CDC5L	1	AC-AD-7
SUPT16H	CDC5L	1	AC-AD-7
DIDO1	CDC5L	1	AC-AD-7
SRPK2	FOXN3	1	AC-AD-7
FOXD3	CUX1	1	AC-AD-7
FOXG1	CUX1	1	AC-AD-7
HMGB1	CUX1	1	AC-AD-7
FOXJ2	CUX1	1	AC-AD-7
FOXE1	CUX1	1	AC-AD-7
UBE2I	DACH1	1	AC-AD-7
SIX1	DACH1	1	AC-AD-7
NCOA2	DLX2	1	AC-AD-7
MSX1	DLX2	1	AC-AD-7
DNMT1	CBX5	1	AC-AD-7
DNMT3A	DNMT1	1	AC-AD-7
HMGB1	DNMT1	1	AC-AD-7
UBE2I	DNMT3A	1	AC-AD-7
DNMT3A	CBX5	1	AC-AD-7
SUMO1	DNMT3A	1	AC-AD-7
DNMT3A	CDC73	1	AC-AD-7
PAF1	DNMT3A	1	AC-AD-7
PRMT5	DNMT3A	1	AC-AD-7
IRF9	DNMT3A	1	AC-AD-7
DNMT3A	CTR9	1	AC-AD-7
GLI1	DYRK1A	1	AC-AD-7
RBL1	DYRK1A	1	AC-AD-7
TFDP2	E2F2	1	AC-AD-7
RYBP	E2F2	1	AC-AD-7
RBL1	E2F2	1	AC-AD-7
RBL1	E2F5	1	AC-AD-7
XPO1	E2F5	1	AC-AD-7
MAP2K1	EGFR	1	AC-AD-7
PRKDC	EGFR	1	AC-AD-7
PPARGC1A	EGFR	1	AC-AD-7
MCM3	EGFR	1	AC-AD-7
XPO1	EGFR	1	AC-AD-7
NPM1	EGFR	1	AC-AD-7
MAPK3	EGFR	1	AC-AD-7
EMX1	ALX4	1	AC-AD-7
HOXA10	EMX1	1	AC-AD-7
PRDM4	EMX1	1	AC-AD-7
YBX1	EWSR1	1	AC-AD-7
ZNF184	EWSR1	1	AC-AD-7
SRPK1	EWSR1	1	AC-AD-7
HMGA1	EWSR1	1	AC-AD-7
MAPK3	EWSR1	1	AC-AD-7
ILK	EWSR1	1	AC-AD-7
ZBTB1	EWSR1	1	AC-AD-7
PHB2	EWSR1	1	AC-AD-7
ZNF165	EWSR1	1	AC-AD-7
SQSTM1	BPTF	1	AC-AD-7
SMARCA1	BPTF	1	AC-AD-7
SIRT3	FOXG1	1	AC-AD-7
SMARCA1	FOXG1	1	AC-AD-7
FOXO4	FOXG1	1	AC-AD-7
ZMYM2	FOXG1	1	AC-AD-7
FOXH1	FOXG1	1	AC-AD-7
HOXC13	FOXG1	1	AC-AD-7
UBP1	FOXE1	1	AC-AD-7
HMGA1	FOXE1	1	AC-AD-7
FOXE1	ALX4	1	AC-AD-7
FOXE1	ARID3B	1	AC-AD-7
SIX1	FOXE1	1	AC-AD-7
HOXC13	FOXE1	1	AC-AD-7
SMARCA1	FOXE1	1	AC-AD-7
PSIP1	FOXE1	1	AC-AD-7
TFCP2	FOXE1	1	AC-AD-7
HOXA10	FOXE1	1	AC-AD-7
PAX3	FOXE1	1	AC-AD-7
MAP2K1	GLI1	1	AC-AD-7
GLI1	FXR1	1	AC-AD-7
TBPL1	GTF2A2	1	AC-AD-7
TERF2	GTF2A2	1	AC-AD-7
TERF1	GTF2A2	1	AC-AD-7
MDM2	GTF2E2	1	AC-AD-7
SUPT16H	GTF2E2	1	AC-AD-7
SUPT16H	HDGF	1	AC-AD-7
SUMO1	HDGF	1	AC-AD-7
PSIP1	HDGF	1	AC-AD-7
PRMT5	HDGF	1	AC-AD-7
SRPK1	HDGF	1	AC-AD-7
PRKDC	HDGF	1	AC-AD-7
SOX10	HHEX	1	AC-AD-7
HMGB1	HMGA1	1	AC-AD-7
HOXD11	HMGB1	1	AC-AD-7
TERF2	HMGB1	1	AC-AD-7
RAG1	HMGB1	1	AC-AD-7
PRKDC	HMGB1	1	AC-AD-7
HMGB2	HMGB1	1	AC-AD-7
TP73	HMGB1	1	AC-AD-7
HOXC6	HMGB1	1	AC-AD-7
RAG1	HMGB2	1	AC-AD-7
HMGB2	CHAF1A	1	AC-AD-7
PRKDC	HMGB2	1	AC-AD-7
HMGB2	HMGA1	1	AC-AD-7
PSIP1	HMGA1	1	AC-AD-7
HMGA1	CBX7	1	AC-AD-7
TERF2	HMGA1	1	AC-AD-7
NPM1	HMGA1	1	AC-AD-7
ZZZ3	HOXA1	1	AC-AD-7
NPM1	HOXA7	1	AC-AD-7
HOXB6	ALX4	1	AC-AD-7
HOXC13	FOXD3	1	AC-AD-7
HOXC13	FOXJ2	1	AC-AD-7
SUMO1	HSF2	1	AC-AD-7
UBE2I	HSF2	1	AC-AD-7
PCGF2	HSF2	1	AC-AD-7
PAX8	ID2	1	AC-AD-7
RBL1	ID2	1	AC-AD-7
MAPK3	ID2	1	AC-AD-7
ZNF146	ILK	1	AC-AD-7
PSMB5	ILK	1	AC-AD-7
ILK	CARM1	1	AC-AD-7
XPO1	ILK	1	AC-AD-7
NPM1	ILK	1	AC-AD-7
PRKDC	ILK	1	AC-AD-7
XPO1	IRF5	1	AC-AD-7
MXD1	MAPK3	1	AC-AD-7
SUMO1	MAFG	1	AC-AD-7
PAX6	MAFG	1	AC-AD-7
NFE2L1	MAFG	1	AC-AD-7
SUPT16H	MCM3	1	AC-AD-7
SUMO1	MCM3	1	AC-AD-7
NFKBIA	MCM3	1	AC-AD-7
YBX1	MCM3	1	AC-AD-7
MDM2	FOXO4	1	AC-AD-7
SRPK2	MDM2	1	AC-AD-7
SUMO1	MDM2	1	AC-AD-7
NPM1	MDM2	1	AC-AD-7
SRPK1	MDM2	1	AC-AD-7
ZBTB1	MDM2	1	AC-AD-7
TP73	MDM2	1	AC-AD-7
UBE2I	MDM2	1	AC-AD-7
RYBP	MDM2	1	AC-AD-7
SNAI1	MDM2	1	AC-AD-7
MDM2	BANP	1	AC-AD-7
SUMO1	MEF2C	1	AC-AD-7
MEF2C	HDAC4	1	AC-AD-7
NCOA2	MEF2C	1	AC-AD-7
TFCP2	MEF2C	1	AC-AD-7
MEF2D	MEF2C	1	AC-AD-7
MEF2D	HDAC4	1	AC-AD-7
