Sample	Region	group
GSM2233972	AC	AD
GSM2233976	AC	AD
GSM2233978	AC	AD
GSM2233982	AC	AD
GSM2233983	AC	AD
GSM2233984	AC	AD
GSM2233985	AC	AD
GSM2233987	AC	AD
GSM2233988	AC	AD
GSM2233990	AC	AD
GSM2233991	AC	AD
GSM2233992	AC	AD
GSM2233993	AC	AD
GSM2233994	AC	AD
GSM2233995	AC	AD
GSM2233997	AC	AD
GSM2234002	AC	AD
GSM2234007	AC	AD
GSM2234010	AC	AD
GSM2234012	AC	AD
GSM2233971	AC	Control
GSM2233974	AC	Control
GSM2233977	AC	Control
GSM2233979	AC	Control
GSM2233998	AC	Control
GSM2233999	AC	Control
GSM2234000	AC	Control
GSM2234001	AC	Control
GSM2234005	AC	Control
GSM2234011	AC	Control
GSM2234013	AC	Control
GSM2234014	AC	Control
GSM2234017	AC	Control
GSM2234020	AC	Control
GSM2234027	AC	Control
GSM2234029	AC	Control
