GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012	GSM2233971	GSM2233974	GSM2233977	GSM2233979	GSM2233998	GSM2233999	GSM2234000	GSM2234001	GSM2234005	GSM2234011	GSM2234013	GSM2234014	GSM2234017	GSM2234020	GSM2234027	GSM2234029
ZNF224-YY1	7.29522928751319	7.04216117764088	7.34294333308483	7.93129049638694	7.27191015379503	7.20199365846599	6.98760700710139	6.88730473896445	6.67098096613699	7.25398394036881	7.70917542382801	7.60914053272009	7.16124896310805	7.28773628825101	7.62611089389105	7.28387467902246	7.28814375205738	7.3577083623633	7.34608209630437	7.68601206911404	7.49987675865799	6.88243059368334	6.83058715921702	7.20754033759792	8.08392084340127	7.26568298400819	7.51282799434466	7.68104476903386	7.14381709404826	7.19092710939049	7.01683954634538	7.56980601326387	7.24067085885349	7.13076363483533	7.14801494279423	7.10313342981478
ZBTB24-YY1	7.79717708718297	7.14570353540716	7.4099451608453	6.9787814349431	7.36688636557986	7.27036671603818	7.08901674389836	7.31220305205565	7.3738864033173	7.32545156197449	8.41196286625637	7.77330978192259	7.23163498262235	7.33250759315871	7.38578848604959	7.38514956193822	7.29376843267892	7.36782057277159	7.40018271442705	7.82052090904747	7.22430237850172	6.75047188840686	6.93362585321523	7.27651637318098	8.24559827072922	7.39975239118061	6.10222582743017	8.04956027139426	7.05942366276346	7.24506109722799	7.48676531715121	7.66806065923222	7.25238452432015	7.28259055981499	7.27068237130493	7.62418389320447
CUX1-YY1	7.16030975929885	6.75183717366497	6.76211285380001	7.06392747963591	6.91909025197805	6.39109428857319	7.0155868320013	6.60309378688765	6.82408782573765	6.85292164577396	8.24389298167199	7.4147011862851	6.64475511288848	6.85074532493462	7.05725422980976	6.94033914890306	6.96878467017103	6.91289107737884	6.89479330526524	7.32103969416929	7.17751046180459	6.54774066203309	6.38612561433378	6.94481959699648	8.06799323535709	6.76696686364997	7.34826071996166	6.92427713942817	6.99604730671496	6.92734584321515	6.16024827421968	7.732326611769	6.93771692320939	6.72218805306591	6.67160634668149	6.93755829220382
DYRK1A-YY1	5.73548274322053	7.41705825191698	7.45804785942178	7.69022490993478	7.30780729681905	7.14741019331095	7.56109071083577	7.30064356477351	7.36927741233853	7.29475392601509	8.51565711228727	7.6056834307214	7.24419100346054	7.26147448959861	7.61581595917161	7.38755303468352	7.38799632757883	7.36995566257116	7.29002421417312	7.28687345692833	7.49070911190185	7.18644370631367	7.13167783397172	7.46727407689039	7.57577790958132	7.39974401602508	7.81162427281532	7.91341775932287	7.61812032885655	7.47233209274064	7.0305145705273	7.65476368707961	7.25156959788335	7.74762134769028	7.32154406312598	7.51286267632121
HMBOX1-YY1	5.88113986823171	7.35489177090017	7.30727741452498	7.20912649229732	7.22728964925554	7.50979348028983	6.54179607988712	7.07904452306028	7.18270156572927	7.12718964874441	9.04829252292564	7.56005207985464	6.97078665737746	7.14440789190218	7.53787909022242	7.22113584733728	7.20546010277434	7.35384004326221	7.06054536707484	7.41859816373645	7.29567571949174	6.72346457226794	6.66511656299609	7.23823760264578	8.22288085779175	7.19265348153047	8.07340982289254	7.731267364581	7.36552170242642	7.23034868441387	6.847744948619	8.45816208991161	7.12510386122436	7.33482808210874	6.83422692357483	7.05124598326657
IRF5-YY1	6.57232375046729	7.22661512583608	7.02062232911945	7.28488595023549	7.26461736574549	6.75350326658582	7.06160537660324	7.29588526494183	7.23169101497467	7.18146277035154	9.04521463476033	7.55105384901375	7.13803374694814	7.16349240070841	7.56117085249238	7.22276982549525	7.19779670789873	7.28887612594997	7.31283356999052	7.25845577465122	7.55739240676856	7.07405827663126	6.98620583592003	7.18955727431685	7.29124154167354	7.31317348087043	7.02259744996802	8.28106794365615	7.37383388873366	7.22213336778796	6.47531127749565	8.23537000761208	7.18229638666884	7.38472101370867	7.13487824469503	7.26153031916046
NAB2-YY1	6.29011871786464	6.43004724408759	6.08528246220318	6.97478474659749	6.5075231612186	6.36341934617849	5.75357326083878	6.38566860355417	6.41839266187944	6.38644179660378	8.39376171257956	6.91207517284484	6.36227706507553	6.33288868005006	6.78483692966013	6.44612289557567	6.41055172963121	6.40890822947848	6.55196795901182	6.66423497386727	6.76881569281642	5.90883515203828	6.43153108336776	6.41084804507376	7.08004247096625	6.50860251289264	6.48691404909302	6.90608516749288	6.57204196703943	6.35222279791068	6.10848712109539	7.99193560471258	6.56849729976696	6.47393730065559	6.23186013604811	6.85904760781881
PHF2-YY1	6.84897434527359	6.18495048001512	6.26632073814694	4.90125280889879	6.3676560288596	6.22246963835453	5.42085568041274	6.10136722451527	6.31862184175861	6.07095868338141	7.06900679179785	6.35512493563527	6.18719591005615	6.13129070293708	6.63027873790919	6.03090711483161	6.17572798392129	6.54317419632616	6.38261487024316	6.91998691304448	6.09935184317246	6.21910291426313	5.9961428076749	6.45388962163352	7.24505552941574	6.34941753507789	6.94988278801462	6.85152651917259	6.66217868090551	6.40270982487003	5.93960480179197	7.08013911938396	6.21408563219727	6.57087458389292	6.0579628151069	6.30060340584215
SFMBT1-YY1	5.81933674396505	6.39811919483296	6.63382293791048	6.69344882998037	6.70720961455437	6.31064106663473	6.26433379164278	6.62841841441646	6.24763336489487	6.51011126109287	8.44563504718516	7.61151220368761	6.59514845145753	6.36965491661431	7.02316807515427	6.55583790662956	6.57492216177963	6.49146590465982	6.51717183212332	7.04719106618714	7.50882823521344	5.74554627614924	6.16977841807615	6.56044734605724	7.28886713513069	6.43732156933787	4.80491866738093	7.13640403874597	6.7945519777095	6.53594347917365	6.29263731418571	7.42159272589413	6.496695638548	6.08726854417753	6.78533318442871	7.62843290500565
ZNF407-YY1	6.825064867069	6.39846845579683	6.15678778379292	6.28692566436573	6.45593423243361	5.98853160287995	6.58252887377989	6.42248693244603	6.61637804705157	6.32606598832577	8.23985188028975	6.8754993111047	6.39549540626487	6.24218979325967	6.79832425379449	6.25210643724343	6.20947604618043	6.23867676181466	6.35605604323673	6.84848825485011	6.32143265714693	5.86825909439513	5.70674714614846	6.38757255073412	7.7184774441357	6.28062341214792	6.77379961986249	7.34909081227973	6.36801062897287	6.28689114003804	5.56004506880649	8.07812175774548	6.33127484779456	6.42256556012653	5.79885320219466	6.46117200644532
UBN1-HNRNPU	5.54484208942853	6.05016635906284	5.82369942931891	5.70158016829212	5.62322867046869	5.48981981841004	5.90480823459382	5.68346663077317	5.64101726108254	5.85815738002661	6.72640537107279	6.27981897108165	5.7715155083217	5.67863833955778	6.48263536302574	5.78952912488123	5.60504216175744	5.71199604463109	5.73800427206231	5.77886167805099	5.90153487003926	6.64782621683695	5.98824304623268	6.09010821972916	6.53661907655324	5.64728969486767	6.9253782967736	6.0187590959532	5.83919009680599	5.73478185097835	5.796489691343	6.46858378441438	5.9416847780362	5.8817416831174	5.88006855268527	5.56509112073427
DNMT3A-HNRNPU	7.99068330496428	8.00668258669245	8.05295062745793	8.03496378615577	8.1215122203362	8.00625497450017	8.24152261746042	8.19548487333719	8.05255151331946	7.92370402581386	8.37806910987945	7.94596882633513	7.98540131904602	8.07691811681735	8.425340008078	8.0691346873945	7.90087050294505	8.03867876661113	8.17392696013349	8.11870187373174	8.16065844964631	8.14998227261017	8.4197287171925	8.22692870711245	8.30212593202108	8.09896335512376	8.2330556380831	8.67732986045904	8.04007179928973	8.07162020903198	8.13759514456349	8.65375679462237	7.94510627126206	7.94566436815994	8.16701150497518	8.03325317771493
RYBP-HNRNPU	5.31944517342589	5.12321622587375	5.66738365648347	5.53224117504249	5.85099321910187	5.77319974787277	5.69383489918182	5.89223113795377	5.93666853289059	5.76941021684887	6.54162895130501	6.24908087666597	5.87909915885429	5.59131395076943	7.06281020030639	5.77302873795946	6.64836881011622	5.79028389946399	5.48530328294923	5.76777591077658	5.7344811809259	6.28911791866183	5.71706173216216	5.6874422950758	5.53688630954507	5.59017609434797	4.67103218392241	5.84516300831027	5.33115799018429	5.43269561799129	5.56488459860934	7.6423458688772	5.64166360342379	5.39769420675024	5.70840257252604	5.72329235618811
PRDM4-HNRNPU	6.83022952019149	7.60056066605321	6.99509500082945	6.95972772763594	7.03757253262228	6.42919195717468	7.17879655616881	7.12472782119602	7.0075338346781	6.93742572808094	7.07425346796612	7.60811584009832	7.13190594537323	6.73681238444121	7.3119169683512	7.01704772654156	6.38052999926757	7.06365954034996	7.15887418254252	6.98879872561514	6.92619902078592	6.92509853461196	7.12088075662849	7.1378390967465	7.36006135755134	7.24482295903755	7.66308404553463	7.8088669956197	7.16588308694428	7.15534059438065	7.12358328498487	7.96301927727625	7.14924944420875	6.94364778468329	6.89041900075236	6.648868243537
UBP1-HNRNPU	5.33300030171013	5.78394733583102	5.62529062751912	5.4221353434657	5.6129310802051	5.06072900702993	5.94806602959549	5.45549985887521	5.84093832629645	5.49437750233125	6.87258424475546	6.27713441491036	5.41009708171832	5.18171519176163	6.65800383574376	5.57263401178726	5.3847690183167	5.5449384205928	5.5246547258712	5.51492461577284	5.64698461447688	5.77502414594909	5.49149119248617	5.59881864332293	6.4386853301895	5.93440726796815	6.07876998963529	6.18089033895021	5.61286560132123	5.55988476107821	5.26016790171356	6.85743632800775	5.68164917783203	5.67673160193418	5.51348645657694	5.71508329819061
PAX3-HNRNPU	5.87073982517174	6.56919187162234	5.70739914138238	5.54146772652003	5.74971621470347	4.99346548408455	5.80897121707731	5.34801713926056	5.65011806880877	5.70599246517207	7.20611467222884	6.54288579234941	5.72978951262546	5.61522810042055	6.07976462237379	5.75815426841984	5.47037408482656	5.74160685890504	5.61969628129665	5.73738770410584	5.80822839693745	5.52285661534883	5.75881244889366	5.88058332730989	7.03690796619694	5.90517895607199	6.94846404347709	6.22037924415025	5.85837272170642	6.00747153989971	5.5880102596183	7.44743344698971	5.90154167376626	5.78995688685477	5.743913434193	5.59078255808848
ZZZ3-HNRNPU	10.3643171814167	10.2823549826563	10.4230926336985	10.5349092895445	10.5445880297997	10.5314228694403	10.5506854052498	10.1174160352008	10.4620798461367	10.5301359060196	10.5154575982485	10.9853742518249	10.4083189844318	10.4477554068845	11.3830415387229	10.3999532868473	10.7180785276076	10.1479022541788	10.3112409195636	10.5690399509566	10.57567728766	10.9393388347428	10.5516891883622	10.5399398496944	11.4159443663515	10.4533399392442	9.43926237209655	11.004644754582	10.5484429331418	10.3701921320748	10.4723385650898	10.2421078871169	10.5478463312285	10.3585750807396	10.5304037314267	10.5270943875891
ZNF592-HNRNPU	5.71023367513912	6.00830401110392	5.66724479034045	5.39095936550306	5.66556427281908	3.89870543464164	5.74073236513233	5.2873201070848	5.64392101026888	5.49369711065847	6.98319756081727	7.23292977270825	5.52777798471546	5.28196348087725	6.60545791379585	5.5750831981134	5.1062188769537	5.84060068412893	5.80123834766492	5.51245052958487	5.4456469566568	6.60442207403001	5.52864356870134	5.64879324271627	6.65730234351848	5.51214191889858	6.53855022479267	5.25296430636557	5.4571026467416	5.67147331621793	5.39317827505707	7.78364993422095	5.67911703092236	5.41012746406869	5.41825741469739	5.2178183056963
CTR9-HNRNPU	16.5416684403772	16.5681238438752	16.7332426979372	16.8680206640745	16.7401441051407	16.8705757231899	16.6839159952174	16.9760419136064	16.8216822206207	16.8596269940697	16.4261271316778	16.826310640861	16.8805860941854	16.8364710725423	16.9713301260088	16.7770317781928	17.0479588903572	16.7595980557181	16.6503646650247	16.8840671306983	16.8895255442809	16.8985301150321	16.8662303237657	16.8818198986234	16.6544012132019	16.818788073358	16.8131028527716	16.6962597753754	16.8309232570817	16.8347054809962	16.8712952220087	16.5666870257201	16.8513711172299	16.8894984513588	16.8832605064507	16.8954925444581
MORC2-HNRNPU	5.42717318091404	5.55536763379722	5.7627096417241	5.5917950263033	5.62719481112642	5.35275812553219	5.84087587150971	5.04108009960513	6.02072405861806	5.57003912226888	6.30165126826093	5.41215826279688	5.6398001428703	5.37716002151615	7.33772040893692	5.59534605140881	6.35101489216643	5.48203359387928	5.42017119695848	5.55030112576037	5.68140397219096	6.12374997259359	6.02244989119717	5.85521045605978	6.59357561064466	5.62624758566426	5.57842262099261	6.47571436489135	5.96102543958514	5.66018326683336	5.4035756319996	6.59153130332044	5.73853768553452	5.72269887381869	5.63431240417509	5.73936186819724
E2F5-HNRNPU	5.96643441080738	5.50433919090921	5.89906768335659	5.73511620448726	5.91226519704649	5.6215810159194	5.85477117439524	5.79181140351812	5.68026078608936	5.827822878817	6.98413017483279	6.83075596288558	5.56141936801058	5.58144163784712	6.55754686988732	5.83319868533718	5.57172020818898	5.77310959336486	5.90646760738268	5.75645075309025	5.4668888695504	6.61065962866674	5.73806003947533	5.58136446522543	6.84635061423063	5.83659056172723	4.57688706039366	5.81750809934309	5.74813057077698	5.50046071845185	5.65018940699034	6.63598088884596	5.73228316529391	5.56790723017996	5.75362913276849	5.82061376555629
GCM2-HNRNPU	5.3161924747973	5.15629423789635	5.37904248500809	5.30329890102836	5.53732841352058	5.43776877449207	5.50698757867509	5.54767822194151	5.45289567653025	5.54228770683767	6.90105468368286	5.74282562200565	5.70799322616634	5.34911392073325	6.27498763353583	5.5687938035453	5.83963127956258	5.79755812445447	5.72861428792396	5.45337368353766	5.50707697354562	5.66912838476526	6.10415009865143	5.87046658511817	6.08726172027835	5.29171930662932	5.59906275522656	6.0080611514427	5.57655170037097	5.59633240557693	5.08969011431402	7.39643346609508	5.41401981177484	5.54857472397548	5.56821679066218	5.37288746931215
HES2-HNRNPU	5.98310628443366	6.46690992506113	5.95602440996956	5.79654768315558	6.01041448361748	6.04549755140822	6.099536148651	6.17364944992386	5.86652307625687	6.11103571622871	6.66447220541946	6.47033027849467	6.18258909275561	5.96807076914965	6.20886828051121	6.13201266016068	5.85336015691456	5.97415019624145	6.12511177262245	6.17391865751861	6.07007301371222	5.81076403324224	6.30999710305595	6.09897261991181	6.37007212390765	6.38884214292256	6.34504666524188	6.92339279819073	6.2648563593239	6.21593656820488	6.20574894402253	6.61672637873811	6.27463422938223	6.16384064481717	6.11001324535837	6.209038836394
