GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012
UBB	11.8462272479858	12.1677338437184	12.5107724690566	11.8282584495583	11.9807823722185	11.8369045766848	11.6673727846926	12.1939039832003	12.1817449603309	12.3960535311842	12.2188462217707	12.217222498775	12.2131496901344	11.8506502223585	11.9264883741448	11.8233749172378	11.890637997203	12.0369557398384	12.2539153571613	11.6477246881321
RPL41	11.4766353377236	11.9431816799269	11.7588718846355	11.8451153690548	11.7821707691826	11.959489371575	12.3083016435336	11.7217433176674	12.0328938207579	11.8509532894432	12.0250494935808	11.6546060867147	11.8642160104695	12.000607927864	11.7081027090359	11.4838185326153	11.7716824091975	11.8716391566065	11.9279295483482	11.8990156184593
TUBA1B	11.3925825025863	11.6425564290725	12.1558754685571	11.7256909128141	11.4484415477412	11.2893696533563	11.6525819292205	11.942910070179	11.2210543631757	12.1669152851045	11.8637406086073	12.2876431994005	12.1311341107038	11.8721347249132	11.0603212983823	11.4419232215092	12.1448832901001	11.7745898971194	11.8672594076249	11.2231265085243
TUBA1C	11.4348618528491	11.3161342373893	12.1672750960949	11.505133595554	11.3356178254463	11.2513167023236	12.2350890520548	11.9610444983508	11.230844574051	12.0386388424346	11.8117404670258	12.3175106814701	12.0825043439849	11.8994119601034	10.7834881337063	11.1832520620843	11.9970946834051	11.6315038537115	11.8534578882974	10.9647212973455
SPARCL1	12.0093021562524	11.836641848565	11.5500166255704	11.7855390173333	12.134226082331	11.1249380447861	11.3814129345112	12.0063950521657	11.658517822361	11.7093890389913	11.4774899321795	11.4953982731339	11.8251227431064	12.088486871424	11.226325440489	11.880140361779	12.2053975977787	11.5685909462658	11.9724446446498	11.1388714046016
ACTB	11.6603101407692	10.7119062162561	11.5056282634213	11.524564869974	11.4767311284854	11.1095463502366	11.75133650774	11.7889355557045	11.0211072867174	11.6220716224182	10.7834844524984	11.9260309788224	11.6289046088239	11.407287254403	10.6480433841571	11.6185733864125	11.8356216077878	11.3197214688324	11.2799034278402	10.9897508222939
UBC	11.8387834884206	10.8681176946987	11.5485607968453	11.1164705999554	11.4412686168363	11.3108008261907	12.0539067514652	11.7189936191661	11.632211086904	11.731144837628	10.9847734522446	11.8757427788014	11.6053070790295	11.3260397548419	11.2468932397794	11.7251181340883	11.9105070101527	11.3331704979985	11.3839943503556	11.0287089329045
GAPDH	11.6359938305502	10.6892742549482	11.6664742896278	11.2606210722617	11.5235041271888	11.1690650517202	11.9150402822201	11.7660340360191	11.0651983383074	11.8159034675127	10.5833999980954	11.8515741213426	11.6866404066508	11.1514784193064	10.5707758566848	11.5810721454348	11.8449187201334	11.0999862284942	11.1437629529025	10.5649277260753
DPYSL2	11.2691651893723	11.7704314543805	11.7604391001363	11.2411139588781	11.2149587042387	11.6080265999756	10.8027794158368	11.3587323189334	11.5580532541772	11.4812348444859	11.7202211511353	11.373513719468	11.633684156272	11.6556521353113	11.0753661227449	11.349676444735	11.5435481388742	11.5154416880485	11.9202821841887	11.527909351186
TUBA1A	10.5566496916295	11.659411216155	11.629636050674	11.1794409128699	11.032894080078	11.4693388924611	11.0594863536527	11.1943012655094	11.42120698548	11.5167819697156	11.7455385913455	11.2375119416653	11.5148626360586	11.4897256972506	10.3738429149677	10.5376907199716	11.4633089995166	11.3564425834114	11.6044202523868	11.4171266067887
