Sample	Region	Class
GSM21203	HIP	AD
GSM21204	HIP	AD
GSM21205	HIP	AD
GSM21206	HIP	AD
GSM21207	HIP	AD
GSM21208	HIP	AD
GSM21209	HIP	AD
GSM21210	HIP	AD
GSM21211	HIP	AD
GSM21212	HIP	AD
GSM21213	HIP	AD
GSM21214	HIP	AD
GSM21216	HIP	AD
GSM21222	HIP	AD
GSM21223	HIP	AD
GSM21224	HIP	AD
GSM21225	HIP	AD
GSM21227	HIP	AD
GSM21228	HIP	AD
GSM21229	HIP	AD
GSM21230	HIP	AD
GSM21233	HIP	AD
GSM107522	EC	AD
GSM107523	EC	AD
GSM107524	EC	AD
GSM107525	EC	AD
GSM107526	EC	AD
GSM107527	EC	AD
GSM107528	EC	AD
GSM107529	EC	AD
GSM107530	EC	AD
GSM107531	EC	AD
GSM107532	EC	AD
GSM107533	EC	AD
GSM107534	EC	AD
GSM107535	EC	AD
GSM107536	EC	AD
GSM107537	EC	AD
GSM107538	EC	AD
GSM107539	EC	AD
GSM107540	EC	AD
GSM107541	EC	AD
GSM238763	EC	AD
GSM238790	EC	AD
GSM238791	EC	AD
GSM238792	EC	AD
GSM238793	EC	AD
GSM238794	EC	AD
GSM238795	EC	AD
GSM238796	EC	AD
GSM238797	EC	AD
GSM238798	EC	AD
GSM238799	HIP	AD
GSM238800	HIP	AD
GSM238801	HIP	AD
GSM238802	HIP	AD
GSM238803	HIP	AD
GSM238804	HIP	AD
GSM238805	HIP	AD
GSM238806	HIP	AD
GSM238807	HIP	AD
GSM238808	HIP	AD
GSM238809	MTG	AD
GSM238810	MTG	AD
GSM238811	MTG	AD
GSM238812	MTG	AD
GSM238813	MTG	AD
GSM238815	MTG	AD
GSM238816	MTG	AD
GSM238817	MTG	AD
GSM238818	MTG	AD
GSM238819	MTG	AD
GSM238820	MTG	AD
GSM238821	MTG	AD
GSM238822	MTG	AD
GSM238823	MTG	AD
GSM238824	MTG	AD
GSM238825	MTG	AD
GSM238826	PC	AD
GSM238827	PC	AD
GSM238834	PC	AD
GSM238835	PC	AD
GSM238837	PC	AD
GSM238838	PC	AD
GSM238839	PC	AD
GSM238840	PC	AD
GSM238841	PC	AD
GSM238842	SFG	AD
GSM238843	SFG	AD
GSM238844	SFG	AD
GSM238845	SFG	AD
GSM238846	SFG	AD
GSM238847	SFG	AD
GSM238848	SFG	AD
GSM238851	SFG	AD
GSM238854	SFG	AD
GSM238855	SFG	AD
GSM238856	SFG	AD
GSM238857	SFG	AD
GSM238858	SFG	AD
GSM238860	SFG	AD
GSM238861	SFG	AD
GSM238862	SFG	AD
GSM238863	SFG	AD
GSM238864	SFG	AD
GSM238865	SFG	AD
GSM238867	SFG	AD
GSM238868	SFG	AD
GSM238870	SFG	AD
GSM238871	SFG	AD
GSM238872	VCX	AD
GSM238873	VCX	AD
GSM238874	VCX	AD
GSM238875	VCX	AD
GSM238877	VCX	AD
GSM238941	VCX	AD
GSM238942	VCX	AD
GSM238943	VCX	AD
GSM238944	VCX	AD
GSM238945	VCX	AD
GSM238946	VCX	AD
GSM238947	VCX	AD
GSM238948	VCX	AD
GSM238949	VCX	AD
GSM238951	VCX	AD
GSM238952	VCX	AD
GSM238953	VCX	AD
GSM238955	VCX	AD
GSM238963	VCX	AD
GSM242043	EC	AD
GSM242044	EC	AD
GSM242045	EC	AD
GSM242046	EC	AD
GSM242047	EC	AD
GSM242048	EC	AD
GSM242049	HIP	AD
GSM242050	HIP	AD
GSM242051	HIP	AD
GSM242052	HIP	AD
GSM242053	HIP	AD
GSM242054	HIP	AD
GSM242055	MTG	AD
GSM242056	MTG	AD
GSM242057	MTG	AD
GSM242058	MTG	AD
GSM242059	MTG	AD
GSM242060	MTG	AD
GSM242061	PC	AD
GSM242062	PC	AD
GSM242063	PC	AD
GSM242064	PC	AD
GSM242065	PC	AD
GSM242066	SFG	AD
GSM242067	SFG	AD
GSM242068	SFG	AD
GSM242069	SFG	AD
GSM242083	SFG	AD
GSM242084	SFG	AD
GSM242085	VCX	AD
GSM242086	VCX	AD
GSM242087	VCX	AD
GSM242088	VCX	AD
GSM242089	VCX	AD
GSM318317	FC	AD
GSM318320	FC	AD
GSM318321	FC	AD
GSM318442	FC	AD
GSM318443	FC	AD
GSM318445	FC	AD
GSM697316	HIP	AD
GSM697317	HIP	AD
GSM697318	HIP	AD
GSM697319	HIP	AD
GSM697320	HIP	AD
GSM697321	HIP	AD
GSM697322	HIP	AD
GSM697323	HIP	AD
GSM697324	HIP	AD
GSM697325	HIP	AD
GSM697326	HIP	AD
GSM697327	HIP	AD
GSM697328	HIP	AD
GSM697329	HIP	AD
GSM697330	HIP	AD
GSM697331	HIP	AD
GSM697332	HIP	AD
GSM697333	HIP	AD
GSM697334	HIP	AD
GSM697335	HIP	AD
GSM697336	HIP	AD
GSM697337	HIP	AD
GSM726083	HIP	AD
GSM726087	HIP	AD
GSM726091	HIP	AD
GSM726092	HIP	AD
GSM726093	HIP	AD
GSM726094	HIP	AD
GSM726095	HIP	AD
GSM726096	HIP	AD
GSM726098	HIP	AD
